0,operator
1,instructions
2,ann
3,gillen
4,lehman
5,brothers
6,good
7,morning
8,wondering
9,could
10,give
11,us
12,color
13,kent
14,think
15,mentioned
16,inventories
17,partially
18,driven
19,acquisitions
20,know
21,re
22,bit
23,sequentially
24,sense
25,remington
26,might
27,contributed
28,inventory
29,build
30,year
31,yes
32,randy
33,see
34,slight
35,increase
36,products
37,launching
38,europe
39,latin
40,america
41,basis
42,level
43,percent
44,wasn
45,else
46,would
47,driving
48,really
49,pieces
50,major
51,drivers
52,okay
53,significant
54,enough
55,question
56,terms
57,visibility
58,learn
59,missing
60,north
61,well
62,components
63,biggest
64,component
65,planned
66,call
67,miss
68,reduction
69,sell
70,lot
71,analysis
72,business
73,first
74,frankly
75,thought
76,much
77,occurred
78,last
79,highly
80,seasonal
81,spent
82,back
83,quarters
84,essence
85,trying
86,balance
87,retail
88,least
89,way
90,run
91,businesses
92,cut
93,intentionally
94,piece
95,planning
96,second
97,weak
98,sales
99,category
100,men
101,women
102,shavers
103,quarter
104,categories
105,showed
106,declines
107,dollar
108,couple
109,reasons
110,behind
111,one
112,mix
113,shift
114,low
115,priced
116,entrants
117,sub
118,heavily
119,promoted
120,retailers
121,traded
122,dollars
123,versus
124,look
125,historically
126,gillette
127,mp
128,discounted
129,holiday
130,season
131,view
132,don
133,data
134,statistics
135,yet
136,promotionally
137,took
138,end
139,growth
140,away
141,despite
142,hit
143,expansion
144,margins
145,quite
146,strong
147,reflection
148,integration
149,mean
150,go
151,said
152,going
153,generate
154,time
155,million
156,synergies
157,ve
158,since
159,updated
160,number
161,impacted
162,geographic
163,american
164,seeing
165,flush
166,amp
167,perfect
168,questions
169,thanks
170,bill
171,schmitz
172,deustche
173,bank
174,technical
175,difficulty
176,hey
177,looks
178,like
179,funded
180,debt
181,united
182,acquisition
183,extra
184,left
185,plans
186,future
187,near
188,surplus
189,related
190,revolver
191,rest
192,term
193,bonds
194,right
195,finance
196,refinance
197,existing
198,flexibility
199,reasonably
200,sized
201,sitting
202,answer
203,told
204,people
205,key
206,attributes
207,fact
208,presence
209,pet
210,fragmented
211,want
212,continue
213,find
214,roll
215,opportunities
216,targets
217,kept
218,little
219,indiscernible
220,pursue
221,forward
222,great
223,battery
224,environment
225,becoming
226,rational
227,energizer
228,pretty
229,decent
230,duracell
231,kind
232,trajectory
233,pricing
234,trend
235,starting
236,stabilize
237,two
238,seen
239,improved
240,dynamics
241,marketplace
242,general
243,evidenced
244,competitors
245,operating
246,ebitda
247,significantly
248,fourth
249,heightened
250,promotional
251,activity
252,always
253,selling
254,volume
255,saw
256,sort
257,flat
258,slightly
259,declining
260,plus
261,minus
262,somewhere
263,range
264,got
265,microlite
266,surprised
267,turned
268,quickly
269,reached
270,inflection
271,point
272,assume
273,will
274,stay
275,profitable
276,certainly
277,expect
278,bought
279,capitalized
280,afloat
281,borrowing
282,money
283,outrageous
284,interest
285,rates
286,recapitalized
287,eliminated
288,virtually
289,expensive
290,incurring
291,sheet
292,move
293,installed
294,fantastic
295,management
296,team
297,result
298,changed
299,product
300,offerings
301,rationalized
302,skus
303,importantly
304,raised
305,average
306,price
307,rayovac
308,stuck
309,entirety
310,principle
311,competitor
312,panasonic
313,used
314,opportunity
315,profitability
316,raise
317,prices
